lambda,f,median_growth_rate,analytic_growth_rate,median_final_wealth,mean_final_wealth_mc,mean_final_wealth_analytic,drawdown_median,drawdown_p95,fraction_below_start
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.05,0.009999999999999998,0.0019500641705002973,0.001950064170500275,7.029138629459633,7.349055546288265,7.374312390354616,0.10555668120074979,0.16000209779356878,0.0
0.1,0.019999999999999997,0.0038004934507000587,0.0038004934507000505,44.72324776720377,53.7671653296301,54.164259360432794,0.2024658155327923,0.3008352742572834,0.0
0.15000000000000002,0.03,0.00555159835104315,0.005551598351043225,257.64904058247254,391.437323041554,396.260442258645,0.29174830001033536,0.42371837169713916,0.0
0.2,0.039999999999999994,0.007203630083866813,0.007203630083866729,1344.3018462717678,2834.270681938623,2887.5672632098995,0.3729042475385762,0.5280153027649404,0.0
0.25,0.04999999999999999,0.00875678074663913,0.008756780746638989,6353.624691803132,20387.191021892675,20959.155637813845,0.44803122474966317,0.6169522263579567,0.0
0.30000000000000004,0.06,0.010211183387150671,0.01021118338715048,27205.743474673574,145337.21907361477,151534.84314948623,0.5168914375566431,0.6921397119048347,0.0
0.35000000000000003,0.06999999999999999,0.01156691195035472,0.01156691195035477,105547.03377828943,1022710.680216604,1091327.2445248088,0.5793772584641983,0.7545135086340534,0.0
0.4,0.07999999999999999,0.012823981106056447,0.012823981106056627,371008.8167219725,7063366.096129547,7829029.8316793125,0.6359339976554841,0.8052009290943456,0.0
0.45,0.08999999999999998,0.013982345956134654,0.013982345956134921,1181559.7624023373,47544591.32218577,55947154.20968809,0.6863295048739442,0.8486160514989094,0.0
0.5,0.09999999999999998,0.015041901619464558,0.015041901619464441,3408904.7823162586,309477887.1766939,398264651.6581365,0.7314123210087011,0.8832531867347672,0.0
0.55,0.10999999999999999,0.016002482692165015,0.016002482692164983,8908199.406080276,1932482200.6540835,2824202276.0612164,0.7715990846903082,0.9111833126831637,0.0
0.6000000000000001,0.12,0.016863862580248013,0.016863862580248003,21080575.462565623,11486478055.75314,19950631168.808,0.8062043198789359,0.9332079512515435,0.0
0.65,0.12999999999999998,0.017625752701146327,0.0176257527011464,45161373.06102374,64522992669.59179,140397952988.49548,0.8382394508749847,0.9511035386563789,0.0
0.7000000000000001,0.13999999999999999,0.018287801550008864,0.018287801550008927,87557085.99827231,340316167001.94,984270931482.9978,0.8650828753522483,0.9647897245455332,0.0
0.75,0.14999999999999997,0.01884959362598536,0.01884959362598526,153558725.13304842,1675763933748.1504,6874240231169.627,0.8889010454845283,0.9751738630991543,0.0
0.8,0.15999999999999998,0.019310648213052794,0.019310648213052867,243505043.56202295,7665785171761.616,47829659726645.56,0.9094484951039907,0.9829095264451038,0.0
0.8500000000000001,0.16999999999999998,0.01967041800920131,0.019670418009201468,348942604.35316646,32439021731442.715,331542156446663.06,0.9268609418675289,0.9886128763241937,0.0
0.9,0.17999999999999997,0.019928287597008914,0.019928287597008723,451591061.4654021,126521655326025.27,2289577819746213.5,0.9415758797475506,0.9924380551291787,0.0003
0.9500000000000001,0.18999999999999997,0.020083571747801773,0.020083571747801773,527453753.19442487,453409540717372.44,1.575264596258779e+16,0.9535919769823258,0.9950950616650909,0.0005
1.0,0.19999999999999996,0.020135513550689214,0.020135513550688863,555574655.1310416,1488920225402724.2,1.0797899941665877e+17,0.9636512617401594,0.9969384121264767,0.0008
1.05,0.20999999999999996,0.020083282356762013,0.020083282356761878,527301134.8886123,4469717800553695.0,7.374268790623831e+17,0.9722685767337198,0.9981401651555628,0.0011
1.1,0.21999999999999997,0.019925971527699347,0.019925971527699246,450546355.5401312,1.224062470892532e+16,5.017630380758286e+18,0.9791975694607551,0.9988902151783815,0.0027
